   1   2pke-A  4.3  2.8   57   233    9 PDB  MOLECULE: HALOACID DELAHOGENASE-LIKE FAMILY HYDROLASE;               
   2   1z4n-B  4.2  2.8   53   204    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
   3   2wf8-A  4.2  2.9   55   218    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
   4   3nas-A  4.1  2.9   54   207    4 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
   5   2hsz-B  4.1  3.0   60   225   10 PDB  MOLECULE: NOVEL PREDICTED PHOSPHATASE;                               
   6   1z4n-A  4.1  2.9   55   219    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
   7   2wf5-A  4.1  2.9   55   218    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
   8   3qu9-A  4.1  3.1   57   225    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
   9   1z4o-A  4.1  2.9   55   219    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  10   3quc-A  4.1  3.2   57   225    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  11   3qu2-C  4.1  3.2   56   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  12   3qu2-A  4.1  3.2   56   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  13   2wf6-A  4.1  2.9   55   218    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  14   3r9k-A  4.1  3.2   57   227    7 PDB  MOLECULE: PUTATIVE BETA-PHOSPHOGLUCOMUTASE;                          
  15   3qx7-A  4.1  3.2   57   224    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  16   1lvh-A  4.0  2.9   53   221    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  17   2wf9-A  4.0  2.9   55   221    5 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  18   3qu2-D  4.0  3.2   55   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  19   3qu5-A  4.0  3.2   56   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  20   3qub-A  4.0  3.3   57   223    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  21   3qu4-E  4.0  3.2   57   227    9 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  22   3qu4-C  4.0  3.2   57   224    9 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  23   3qu4-D  4.0  3.3   56   226    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  24   3qu2-B  4.0  3.2   55   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  25   3qu4-H  4.0  3.3   56   224    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  26   3qu4-G  4.0  3.2   57   224    9 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  27   3quq-A  4.0  3.2   55   225    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  28   3qut-A  4.0  3.2   55   225    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  29   3qu5-B  3.9  3.1   56   229    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  30   4akh-B  3.9  3.3   73  2650    1 PDB  MOLECULE: GLUTATHIONE S-TRANSFERASE CLASS-MU 26 KDA ISOZYME          
  31   3qu7-A  3.9  3.2   55   221    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  32   3qu7-B  3.9  3.3   55   224    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  33   3qu4-B  3.9  3.3   56   222    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  34   3qyp-B  3.9  3.2   57   228    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  35   1lvh-B  3.9  2.8   53   221    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  36   3qu4-A  3.9  3.3   56   223    7 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  37   3qu4-F  3.9  3.3   57   223    9 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  38   2hsz-A  3.8  3.0   59   225   10 PDB  MOLECULE: NOVEL PREDICTED PHOSPHATASE;                               
  39   3dv9-A  3.8  3.6   56   243    4 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  40   3vkh-B  3.8  2.7   60  1788    5 PDB  MOLECULE: DYNEIN HEAVY CHAIN, CYTOPLASMIC;                           
  41   2pke-B  3.8  2.8   58   228    9 PDB  MOLECULE: HALOACID DELAHOGENASE-LIKE FAMILY HYDROLASE;               
  42   3qyp-A  3.8  3.3   58   221    5 PDB  MOLECULE: INORGANIC PYROPHOSPHATASE;                                 
  43   3nas-B  3.8  2.9   52   205    4 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  44   4akg-B  3.8  3.3   73  2650    1 PDB  MOLECULE: GLUTATHIONE S-TRANSFERASE CLASS-MU 26 KDA ISOZYME          
  45   1zhe-A  3.8  2.8   52   251    4 PDB  MOLECULE: SULFOTRANSFERASE 1C1;                                      
  46   3ddh-A  3.7  3.0   58   229    7 PDB  MOLECULE: PUTATIVE HALOACID DEHALOGENASE-LIKE FAMILY HYDROL          
  47   4aki-B  3.7  3.4   71  2650    1 PDB  MOLECULE: GLUTATHIONE S-TRANSFERASE CLASS-MU 26 KDA ISOZYME          
  48   1zol-A  3.7  3.0   53   221    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  49   3s6j-F  3.7  2.9   54   219    6 PDB  MOLECULE: HYDROLASE, HALOACID DEHALOGENASE-LIKE FAMILY;              
  50   4akh-A  3.7  3.3   71  2650    1 PDB  MOLECULE: GLUTATHIONE S-TRANSFERASE CLASS-MU 26 KDA ISOZYME          
  51   3haj-B  3.7  4.7   58   284    5 PDB  MOLECULE: HUMAN PACSIN2 F-BAR;                                       
  52   3haj-A  3.7  4.8   58   286    5 PDB  MOLECULE: HUMAN PACSIN2 F-BAR;                                       
  53   2hcf-A  3.6  3.4   63   225   10 PDB  MOLECULE: HYDROLASE, HALOACID DEHALOGENASE-LIKE FAMILY;              
  54   2nvu-B  3.6  2.6   56   789    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  55   2hoq-A  3.6  3.1   57   237    5 PDB  MOLECULE: PUTATIVE HAD-HYDROLASE PH1655;                             
  56   3ddh-B  3.6  2.9   58   223    3 PDB  MOLECULE: PUTATIVE HALOACID DEHALOGENASE-LIKE FAMILY HYDROL          
  57   1z4o-B  3.6  2.9   51   215    6 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  58   3dbh-F  3.6  2.6   56   431    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  59   1ryk-A  3.6  2.9   58    69    9 PDB  MOLECULE: PROTEIN YJBJ;                                              
  60   3syv-B  3.6  4.3   54   254    4 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE II SUBSTRATE P          
  61   2x3v-A  3.6  4.7   58   291    5 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN N          
  62   3qe6-A  3.6  4.3   54   283    4 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE II SUBSTRATE P          
  63   3q0k-D  3.6  4.7   58   289    5 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN N          
  64   4g9b-A  3.5  2.7   53   227    8 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  65   3vkh-A  3.5  2.7   60  1924    5 PDB  MOLECULE: DYNEIN HEAVY CHAIN, CYTOPLASMIC;                           
  66   3qni-A  3.5  2.9   41   273    5 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN N          
  67   1r4n-B  3.5  2.6   56   418    5 PDB  MOLECULE: AMYLOID BETA PRECURSOR PROTEIN-BINDING PROTEIN 1;          
  68   3dbh-B  3.5  2.6   56   432    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  69   3dbr-F  3.5  2.6   56   431    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  70   1tt5-B  3.5  2.6   56   414    5 PDB  MOLECULE: AMYLOID PROTEIN-BINDING PROTEIN 1;                         
  71   1ngv-B  3.5  2.6   56   398    5 PDB  MOLECULE: AMYLOID BETA PRECURSOR PROTEIN-BINDING PROTEIN 1;          
  72   3dbl-B  3.5  2.6   56   432    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  73   3dbr-B  3.5  2.6   56   432    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  74   3dbh-H  3.5  2.6   56   431    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  75   3dbl-F  3.5  2.6   56   431    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  76   3gzn-B  3.5  2.7   56   429    5 PDB  MOLECULE: NEDD8-ACTIVATING ENZYME E1 REGULATORY SUBUNIT;             
  77   4gib-B  3.5  3.0   59   223    8 PDB  MOLECULE: BETA-PHOSPHOGLUCOMUTASE;                                   
  78   3abh-A  3.5  4.8   58   288    5 PDB  MOLECULE: PROTEIN KINASE C AND CASEIN KINASE SUBSTRATE IN            
