F    1   4x3x-A  5.0  2.9   65    82   11 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
T    2   3g1g-A  4.0  2.9   67    77    7 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    3   3tir-A  3.9  2.8   62   222    8 PDB  MOLECULE: ROUS SARCOMA VIRUS CAPSID PROTEIN P27;                     
T    4   3g1i-A  3.9  2.8   64    76    6 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    5   3g29-A  3.7  2.7   60    77    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    6   3g0v-A  3.6  2.9   62    76    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    7   3g29-B  3.6  2.8   62    77    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    8   3g1i-B  3.6  2.9   62    75    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T    9   3g26-A  3.6  2.8   60    77    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T   10   3dtj-C  3.6  2.7   62    73    8 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   11   3dtj-B  3.6  2.7   62    73    8 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   12   3dtj-A  3.6  2.7   62    73    8 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   13   3g21-A  3.5  3.0   62    77    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T   14   3lry-A  3.5  2.6   60    71    8 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   15   3lry-B  3.5  2.6   60    71    8 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   16   3ds4-B  3.5  3.0   64    75    6 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   17   3ds5-C  3.5  2.7   62    73   10 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   18   3dtj-D  3.5  3.0   63    73   10 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   19   3ds5-B  3.5  3.0   63    73   10 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   20   3ds5-D  3.5  2.7   61    73   10 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
T   21   3ds5-A  3.5  2.8   62    73   10 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
F   22   2j68-A  3.4  3.8   64   680    6 PDB  MOLECULE: BACTERIAL DYNAMIN-LIKE PROTEIN;                            
T   23   4ph0-C  3.4  2.9   62   199    6 PDB  MOLECULE: BLV CAPSID;                                                
T   24   3g1g-B  3.4  2.9   61    75    8 PDB  MOLECULE: GAG POLYPROTEIN;                                           
T   25   4coc-A  3.4  2.9   64    75    9 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
T   26   5a9e-C  3.3  3.0   60   254    3 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   27   4coc-B  3.3  2.9   63    79    6 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
T   28   4m0i-A  3.3  2.7   61    71   11 PDB  MOLECULE: HIV-1 CAPSID PROTEIN;                                      
F   29   1j7q-A  3.2  3.1   64    86    5 PDB  MOLECULE: CALCIUM VECTOR PROTEIN;                                    
T   30   5a9e-H  3.2  2.9   61   254    5 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   31   5a9e-K  3.2  2.9   60   254    3 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   32   1u7k-C  3.2  3.8   74   131    9 PDB  MOLECULE: GAG POLYPROTEIN;                                           
F   33   4x3i-A  3.2  2.7   57    72    5 PDB  MOLECULE: ACTIVITY-REGULATED CYTOSKELETON-ASSOCIATED PROTEI          
T   34   4coc-C  3.2  3.0   63    73   10 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
T   35   1a43-A  3.2  2.6   60    72   10 PDB  MOLECULE: HIV-1 CAPSID;                                              
T   36   2k1c-A  3.2  2.7   62    84    6 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
T   37   5a9e-A  3.1  3.1   61   254    3 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   38   4ph0-F  3.1  3.0   63   199    5 PDB  MOLECULE: BLV CAPSID;                                                
T   39   4ph1-C  3.1  3.1   63    79    6 PDB  MOLECULE: BLV CAPSID;                                                
T   40   5a9e-B  3.1  3.1   61   254    3 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   41   5a9e-J  3.1  3.0   61   254    5 PDB  MOLECULE: DELTAMBD GAG PROTEIN;                                      
T   42   4ph0-E  3.1  3.0   61   193    5 PDB  MOLECULE: BLV CAPSID;                                                
T   43   4ph0-D  3.1  2.9   60   198    5 PDB  MOLECULE: BLV CAPSID;                                                
T   44   4ph1-A  3.1  3.2   63    73    6 PDB  MOLECULE: BLV CAPSID;                                                
T   45   4ph0-A  3.1  3.5   61   201    3 PDB  MOLECULE: BLV CAPSID;                                                
T   46   4ph0-B  3.1  3.0   58   188    5 PDB  MOLECULE: BLV CAPSID;                                                
